SL. Number,Number of Cycles,Stress (MPa),Solution Temperature (°C),Solution Time (hrs),Temperature Measurement (°C),Ann/Age. temp (cel),Ann/age time (hrs),Total Strain (%),R,Frequency (Hz),Ti,Al,V,C,N,O,H,Fe,Si,Sn,Nb,Mo,Zr,PI Fatigue Life
157,1000000,611,932,0,25,704,2,0,0.1,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0,1471888.798
149,600000,951,0,0,25,600,8,0,0.1,0,85.98,6.2,0,0.021,0.004,0.03,0.008,0,0,1.95,0,2,3.8,8086.302802
139,290000,730,0,0,455,600,8,0,0.1,0,85.98,6.2,0,0.021,0.004,0.03,0.008,0,0,1.95,0,2,3.8,181473.2011
127,100000,710,925,1,25,700,2,0,0.1,50,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,251622.8053
122,100000,667,932,0,25,704,2,0,0.1,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0,524656.4303
128,100000,681,0,0,25,700,2,0,0.1,90,89.1,6.3,4.2,0,0.013,0.19,0.0041,0.19,0,0,0,0,0,410913.1124
87,854,1112.62,0,0,600,0,0,0.002,0.1,2,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5,1276.071473
73,715,1154.4,0,0,500,0,0,0.002,0.1,2,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5,827.1085305
59,607,1193.95,0,0,450,0,0,0.002,0.1,2,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5,556.5446343
53,562,1275.41,1020,1,400,0,0,0.002,0.1,2,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5,256.04276
24,290,1426.014,0,0,350,0,0,0.002,0.1,2,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5,68.88505349
191,10000000,540,925,1,25,700,2,0,0.1,50,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,6294155.962
188,10000000,556,932,0,25,704,2,0,0.1,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0,4464907.85
194,10000000,498,0,0,25,700,2,0,0.1,90,89.1,6.3,4.2,0,0.013,0.19,0.0041,0.19,0,0,0,0,0,16314076.71
185,10000000,460,0,0,600,0,0,0,0.1,30,84.69,5.8,0,0.05,0.0025,0.105,0.004,0.009,0.34,4,0.69,0.54,3.72,41501376.36
217,100000000,400,0,0,600,0,0,0,0.1,30,84.69,5.8,0,0.05,0.0025,0.105,0.004,0.009,0.34,4,0.69,0.54,3.72,214813959.4
94,947,1067.84,0,0,650,0,0,0.002,0.1,2,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5,2068.950023
215,94680341,497.88,0,0,25,800,2,0,0.1,6,84.83,6.12,0,0.01,0.01,0.1,0.009,0.1,0.1,2.18,0,2.19,4.35,158398111.7
214,75226561,546.882,0,0,25,800,2,0,0.1,6,84.83,6.12,0,0.01,0.01,0.1,0.009,0.1,0.1,2.18,0,2.19,4.35,91846476.47
213,55964069,597.65,0,0,25,800,2,0,0.1,6,84.83,6.12,0,0.01,0.01,0.1,0.009,0.1,0.1,2.18,0,2.19,4.35,54851372.62
209,30000000,703,0,0,25,600,8,0,0.1,0,85.98,6.2,0,0.021,0.004,0.03,0.008,0,0,1.95,0,2,3.8,21370392.56
203,10000000,750,0,0,25,595,8,0,0.1,100,82,6,0,0,0,0,0,0,0,2,0,6,4,14676584.52
212,47590556,695.53,0,0,25,800,2,0,0.1,6,84.83,6.12,0,0.01,0.01,0.1,0.009,0.1,0.1,2.18,0,2.19,4.35,22737881.56
207,12572495,1098.35,0,0,25,800,2,0,0.1,6,84.83,6.12,0,0.01,0.01,0.1,0.009,0.1,0.1,2.18,0,2.19,4.35,14251973.3
208,22483487,1045.65,0,0,25,800,2,0,0.1,6,84.83,6.12,0,0.01,0.01,0.1,0.009,0.1,0.1,2.18,0,2.19,4.35,18113400.93
210,34482918,947.76,0,0,25,800,2,0,0.1,6,84.83,6.12,0,0.01,0.01,0.1,0.009,0.1,0.1,2.18,0,2.19,4.35,29254151.08
211,39420453,846.12,0,0,25,800,2,0,0.1,6,84.83,6.12,0,0.01,0.01,0.1,0.009,0.1,0.1,2.18,0,2.19,4.35,50874481.96
172,1000000,312.44,0,0,600,1300,4,0,0,20,52.39,28.67,0,0.016,0.53,0.002,0.023,0,0,0,18.7,0,0,95293.32923
102,1000,494,0,0,25,0,0,0,0,0,89.924,8.96,3.83,0.01,0.009,0.12,0.0016,0.16,0,0,0,0,0,232.4408741
99,1000,494,0,0,550,595,8,0.7,0,0,85.9,6,0,0,0,0,0,0,0.1,2,0,2,4,232.4408741
110,10000,394,0,0,450,595,8,0.7,0,0,85.9,6,0,0,0,0,0,0,0.1,2,0,2,4,4531.583638
105,1220,444.86,1020,2,500,1020,2,0.2,0,0,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5,920.1846832
86,840,419.78,1020,2,600,1020,2,0.2,0,0,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5,1971.571357
74,721,334.21,1020,2,650,1020,2,0.2,0,0,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5,39343.68189
170,1000000,282.17,0,0,25,1300,4,0,0,20,52.39,28.67,0,0.016,0.53,0.002,0.023,0,0,0,18.7,0,0,363287.1195
173,1000000,295.63,0,0,750,1300,4,0,0,20,52.39,28.67,0,0.016,0.53,0.002,0.023,0,0,0,18.7,0,0,196986.97
134,100000,306.28,0,0,25,1300,4,0,0,20,52.39,28.67,0,0.016,0.53,0.002,0.023,0,0,0,18.7,0,0,123772.7385
205,10000000,206.5,0,0,400,1300,4,0,0,20,52.39,28.67,0,0.016,0.53,0.002,0.023,0,0,0,18.7,0,0,21918584.3
171,1000000,218.83,0,0,400,1300,4,0,0,20,52.39,28.67,0,0.016,0.53,0.002,0.023,0,0,0,18.7,0,0,10234402.67
135,100000,227.24,0,0,400,1300,4,0,0,20,52.39,28.67,0,0.016,0.53,0.002,0.023,0,0,0,18.7,0,0,6237348.355
219,100000000,180.72,0,0,400,1300,4,0,0,20,52.39,28.67,0,0.016,0.53,0.002,0.023,0,0,0,18.7,0,0,126273581.9
112,10000,400,0,0,25,600,4,0,0,0,89.924,8.96,3.83,0.01,0.009,0.12,0.0016,0.16,0,0,0,0,0,3715.887012
109,10000,400,0,0,550,595,8,0.7,0,0,85.9,6,0,0,0,0,0,0,0.1,2,0,2,4,3715.887012
113,10000,394,0,0,25,850,4,0,0,0,89.924,8.96,3.83,0.01,0.009,0.12,0.0016,0.16,0,0,0,0,0,4531.583638
113,10000,394,0,0,25,850,4,0,0,0,89.924,8.96,3.83,0.01,0.009,0.12,0.0016,0.16,0,0,0,0,0,4531.583638
199,10000000,730,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,454333.7506
201,10000000,680,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,769462.5723
196,10000000,680,0,0,25,700,2,0,0,0,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,769462.5723
132,100000,740,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,410676.6399
130,100000,740,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,410676.6399
129,100000,725,0,0,25,700,2,0,0,0,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,478148.1723
200,10000000,800,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,230144.1817
198,10000000,600,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,1949564.015
168,1000000,690,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,690438.4994
167,1000000,875,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,118304.1556
166,1000000,730,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0,454333.7506
221,100000000,293.94,0,0,750,1300,4,0,0,20,52.39,28.67,0,0.016,0.53,0.002,0.023,0,0,0,18.7,0,0,390335004.7
