SL. Number,Number of Cycles,Stress (MPa),Solution Temperature (°C),Solution Time (hrs),Temperature Measurement (°C),Ann/Age. temp (cel),Ann/age time (hrs),Total Strain (%),R,Frequency (Hz),Ti,Al,V,C,N,O,H,Fe,Si,Sn,Nb,Mo,Zr,PI Fatigue Life
108,1568,673.14,1020,2,350,1020,2,0.2,0,0,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5,1651.011126
90,865,680,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54,894.7207305
88,854,688.18,1025,2,450,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54,696.1254313
82,824,689.93,1025,2,400,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54,660.0282131
78,767,682.22,1025,2,450,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54,835.6030182
67,654,688.35,1025,2,400,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54,692.5282594
79,768,678,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54,951.8368186
54,566,702.24,1025,2,425,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54,455.3155682
48,535,694,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54,583.3611458
40,438,708.4,1025,2,425,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54,379.0421441
33,394,706,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54,407.0286692
63,637,682,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54,841.2740639
121,100000,450,932,0,25,704,2,0,-1,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0,35135.81243
140,321569,430.28,970,0.5,550,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,61526.54101
142,452387,400.681,970,0.5,550,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,150011.6542
151,682813,369.739,970,0.5,250,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,409732.1098
174,1001439,340.73,970,0.5,250,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,1138118.545
152,718649,369.868,970,0.5,350,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,407966.9672
136,112665,461.077,970,0.5,550,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,25923.13371
143,481796,370.731,970,0.5,550,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,396221.0094
153,998314,339.542,970,0.5,350,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,1189015.456
155,1000000,300.545,970,0.5,550,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,5465438.352
119,99888,340.71,970,0.5,450,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,1138937.782
118,61671,369.69,970,0.5,450,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,410440.3034
117,59436,400.54,970,0.5,450,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,150660.7066
116,52620,430.938,970,0.5,450,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,60368.79401
115,43568,459.614,970,0.5,450,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,26973.51224
114,27924,500.689,970,0.5,450,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,9249.643618
147,554811,340.376,970,0.5,550,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,1152955.38
154,1000000,525,0,0,25,0,0,0,-1,30,84.69,5.8,0,0.05,0.0025,0.105,0.004,0.009,0.34,4,0.69,0.54,3.72,403006.9168
144,496004,550.177,970,0.5,250,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,255932.2413
138,233388,600.83,970,0.5,250,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,108971.3923
181,4805097,464.76,970,0.5,25,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,1313522.45
141,390678,541.21,970,0.5,350,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,300132.1367
137,145241,550.017,970,0.5,350,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,256632.9995
146,517945,499.9,970,0.5,250,700,0.5,2,-1,5,89.34,6.22,4.01,0.02,0.01,0.2,0.001,0.2,0,0,0,0,0,647981.3406
